Workload,Record_Count,Operation_Count,No.threads,Consistency,Replication,Runtime (ms),Throughput (ops/sec),Read_Latency (ms),Write_Latency (ms)
workload-A,250000,1750000,160,ALL,Full,17.93,92343.68,12.47,19.14
workload-A,250000,2000000,160,ALL,Full,19.59,105593.84,13.08,18.88
workload-A,250000,2250000,160,ALL,Full,19.68,117398.48,13.08,18.97
workload-A,250000,2500000,160,ALL,Full,19.38,122815.88,12.87,20.14
workload-A,250000,2750000,160,ALL,Full,17.87,139030.49,13.5,18.47
workload-A,250000,3000000,160,ALL,Full,19.14,152646.36,12.96,18.81
workload-A,250000,3250000,160,ALL,Full,19.38,169276.64,13.33,20.06
workload-A,250000,3500000,160,ALL,Full,19.46,186910.63,12.51,19.63
workload-A,250000,3750000,160,ALL,Full,18.84,194110.83,12.52,18.48
workload-A,250000,4000000,160,ALL,Full,17.96,207173.73,13.48,19.66
workload-A,250000,4250000,160,ALL,Full,19.51,225466.14,12.86,20.36
workload-A,250000,4500000,160,ALL,Full,19.01,224279.06,13.16,20.22
workload-A,250000,4750000,160,ALL,Full,18.11,233296.76,12.36,19.08
workload-A,250000,5000000,160,ALL,Full,18.16,247222.05,13.31,19.94
workload-A,250000,250000,320,ALL,Full,9.28,25307.6,13.46,20.34
workload-A,250000,500000,320,ALL,Full,9.55,49934.47,12.99,20.14
workload-A,250000,750000,320,ALL,Full,8.94,73387.5,12.95,19.44
workload-A,250000,1000000,320,ALL,Full,9.48,102485.32,12.45,19.37
workload-A,250000,1250000,320,ALL,Full,9.53,132515.2,13.03,20.29
workload-A,250000,1500000,320,ALL,Full,8.92,152198.2,12.76,18.74
workload-A,250000,1750000,320,ALL,Full,9.69,180117.83,13.11,18.64
workload-A,250000,2000000,320,ALL,Full,9.29,197708.9,12.74,19.61
workload-A,250000,2250000,320,ALL,Full,9.24,222955.55,13.04,18.47
workload-A,250000,2500000,320,ALL,Full,9.54,244085.18,12.34,18.48
workload-A,250000,2750000,320,ALL,Full,9.74,283835.72,12.36,18.62
workload-A,250000,3000000,320,ALL,Full,9.16,294494.45,13.11,18.54
workload-A,250000,3250000,320,ALL,Full,9.52,333782.96,13.17,19.41
workload-A,250000,3500000,320,ALL,Full,9.66,374317.88,12.52,19.67
workload-A,250000,3750000,320,ALL,Full,9.68,387787.49,13.32,19.24
workload-A,250000,4000000,320,ALL,Full,9.13,410237.95,13.03,19.05
workload-A,250000,4250000,320,ALL,Full,9.52,450402.73,12.37,19.38
workload-A,250000,4500000,320,ALL,Full,9.11,444247.44,13.55,18.89
workload-A,250000,4750000,320,ALL,Full,9.22,467612.96,12.92,19.11
workload-A,250000,5000000,320,ALL,Full,9.04,519357.01,12.6,19.96
workload-A,500000,250000,32,ALL,Full,192.7,1223.71,13.01,19.79
workload-A,500000,500000,32,ALL,Full,179.68,2555.49,13.58,20.67
workload-A,500000,750000,32,ALL,Full,188.12,3936.92,14.06,20.38
workload-A,500000,1000000,32,ALL,Full,193.63,5186.08,13.09,19.96
workload-A,500000,1250000,32,ALL,Full,187.9,6186.06,14.07,19.94
workload-A,500000,1500000,32,ALL,Full,184.73,7634.75,13.9,21.28
workload-A,500000,1750000,32,ALL,Full,193.58,9240.88,14.35,20.77
workload-A,500000,2000000,32,ALL,Full,193.2,10740.0,13.44,21.13
workload-A,500000,2250000,32,ALL,Full,183.99,11522.13,13.95,20.46
workload-A,500000,2500000,32,ALL,Full,179.96,13114.88,14.11,20.67
workload-A,500000,2750000,32,ALL,Full,187.42,13618.32,14.08,21.33
workload-A,500000,3000000,32,ALL,Full,183.4,14683.36,13.86,21.27
workload-A,500000,3250000,32,ALL,Full,194.77,17143.82,13.01,20.18
workload-A,500000,3500000,32,ALL,Full,183.2,18010.43,14.13,20.72
workload-A,500000,3750000,32,ALL,Full,179.42,19418.91,13.53,19.86
workload-A,500000,4000000,32,ALL,Full,191.02,20159.99,13.24,19.93
workload-A,500000,4250000,32,ALL,Full,180.54,20734.55,13.36,19.59
workload-A,500000,4500000,32,ALL,Full,195.11,23997.41,14.36,20.63
workload-A,500000,4750000,32,ALL,Full,186.42,25138.68,13.06,20.16
workload-A,500000,5000000,32,ALL,Full,187.53,25118.92,13.93,19.8
workload-A,500000,250000,64,ALL,Full,96.7,2653.12,13.57,20.89
workload-A,500000,500000,64,ALL,Full,94.53,5341.56,13.44,21.02
workload-A,500000,750000,64,ALL,Full,94.23,7856.23,13.15,20.16
workload-A,500000,1000000,64,ALL,Full,92.67,10454.29,13.31,20.85
workload-A,500000,1250000,64,ALL,Full,90.77,13362.33,13.03,21.2
workload-A,500000,1500000,64,ALL,Full,93.83,15123.48,13.04,21.13
workload-A,500000,1750000,64,ALL,Full,96.39,17521.01,13.65,21.08
workload-A,500000,2000000,64,ALL,Full,93.68,19702.64,13.33,19.55
workload-A,500000,2250000,64,ALL,Full,97.89,23423.45,13.8,21.5
workload-A,500000,2500000,64,ALL,Full,95.58,25329.69,13.3,19.99
workload-A,500000,2750000,64,ALL,Full,96.54,27079.56,14.32,19.69
workload-A,500000,3000000,64,ALL,Full,97.9,30052.29,14.17,20.43
workload-A,500000,3250000,64,ALL,Full,96.13,34517.05,13.84,21.34
workload-A,500000,3500000,64,ALL,Full,92.86,35515.51,13.63,19.62
workload-A,500000,3750000,64,ALL,Full,89.83,37379.69,14.16,19.93
workload-A,500000,4000000,64,ALL,Full,89.1,40956.72,13.77,21.08
workload-A,500000,4250000,64,ALL,Full,94.27,44192.6,14.15,19.94
workload-A,500000,4500000,64,ALL,Full,93.84,45109.95,13.0,19.63
workload-A,500000,4750000,64,ALL,Full,90.32,47000.94,13.21,20.34
workload-A,500000,5000000,64,ALL,Full,94.06,50494.65,13.47,21.38
workload-A,500000,250000,160,ALL,Full,37.68,6360.86,13.15,19.53
workload-A,500000,500000,160,ALL,Full,38.18,13167.9,13.53,21.14
workload-A,500000,750000,160,ALL,Full,37.81,18459.91,13.53,19.79
workload-A,500000,1000000,160,ALL,Full,39.02,24632.83,13.83,21.25
workload-A,500000,1250000,160,ALL,Full,38.8,31040.94,13.24,20.65
workload-A,500000,1500000,160,ALL,Full,37.46,39183.66,13.14,20.15
workload-A,500000,1750000,160,ALL,Full,35.79,44285.3,13.77,20.6
workload-A,500000,2000000,160,ALL,Full,36.21,52508.9,13.62,20.83
workload-A,500000,2250000,160,ALL,Full,37.55,56656.2,13.65,21.0
workload-A,500000,2500000,160,ALL,Full,36.75,66428.78,13.26,20.65
workload-A,500000,2750000,160,ALL,Full,36.4,69128.8,14.2,19.62
workload-A,500000,3000000,160,ALL,Full,37.95,75064.13,13.16,20.11
workload-A,500000,3250000,160,ALL,Full,38.91,80405.4,13.84,21.05
workload-A,500000,3500000,160,ALL,Full,36.65,91966.06,13.92,19.97
workload-A,500000,3750000,160,ALL,Full,39.37,97152.7,13.67,19.88
workload-A,500000,4000000,160,ALL,Full,38.44,104627.06,13.0,19.5
workload-A,500000,4250000,160,ALL,Full,37.62,111507.04,14.21,20.05
workload-A,500000,4500000,160,ALL,Full,35.92,116703.57,13.47,20.76
workload-A,500000,4750000,160,ALL,Full,36.92,121800.4,13.76,20.62
workload-A,500000,5000000,160,ALL,Full,37.61,133706.22,14.36,20.29
workload-A,500000,250000,320,ALL,Full,18.0,12612.32,13.56,21.41
workload-A,500000,500000,320,ALL,Full,19.22,24819.96,13.13,20.84
workload-A,500000,750000,320,ALL,Full,19.33,38154.33,13.22,20.48
workload-A,500000,1000000,320,ALL,Full,18.93,50540.22,14.36,20.91
workload-A,500000,1250000,320,ALL,Full,19.5,61626.02,13.45,20.58
workload-A,500000,1500000,320,ALL,Full,18.81,79545.7,13.98,19.98
workload-A,500000,1750000,320,ALL,Full,18.38,92383.16,13.0,21.11
workload-A,500000,2000000,320,ALL,Full,17.86,106466.81,13.98,21.1
workload-A,500000,2250000,320,ALL,Full,19.17,120937.19,14.13,19.56
workload-A,500000,2500000,320,ALL,Full,18.07,128402.79,13.66,20.07
workload-A,500000,2750000,320,ALL,Full,18.47,145865.54,14.08,21.21
workload-A,500000,3000000,320,ALL,Full,19.58,151056.28,13.84,21.24
workload-A,500000,3250000,320,ALL,Full,18.38,174010.64,14.29,20.47
workload-A,500000,3500000,320,ALL,Full,18.32,186182.37,13.1,20.31
workload-A,500000,3750000,320,ALL,Full,18.29,198295.64,14.28,19.79
workload-A,500000,4000000,320,ALL,Full,19.33,203901.89,13.67,21.2
workload-A,500000,4250000,320,ALL,Full,19.27,213556.41,13.02,20.61
workload-A,500000,4500000,320,ALL,Full,19.13,232935.4,14.23,21.14
workload-A,500000,4750000,320,ALL,Full,19.25,247002.48,13.12,21.21
workload-A,500000,5000000,320,ALL,Full,18.66,252252.85,13.21,19.59
workload-A,750000,250000,32,ALL,Full,290.28,847.4,13.58,20.24
workload-A,750000,500000,32,ALL,Full,288.06,1634.44,13.98,20.77
workload-A,750000,750000,32,ALL,Full,278.48,2557.44,14.64,21.77
workload-A,750000,1000000,32,ALL,Full,269.46,3283.74,13.7,20.12
workload-A,750000,1250000,32,ALL,Full,267.65,4387.28,14.69,22.19
workload-A,750000,1500000,32,ALL,Full,283.21,5225.22,13.87,21.3
workload-A,750000,1750000,32,ALL,Full,285.69,6022.53,13.48,20.16
workload-A,750000,2000000,32,ALL,Full,290.39,6573.13,13.8,20.74
workload-A,750000,2250000,32,ALL,Full,272.76,7389.31,14.68,20.54
workload-A,750000,2500000,32,ALL,Full,284.76,8302.51,14.62,20.47
workload-A,750000,2750000,32,ALL,Full,292.4,9213.12,14.48,21.59
workload-A,750000,3000000,32,ALL,Full,276.71,10695.12,14.41,20.57
workload-A,750000,3250000,32,ALL,Full,276.39,10690.72,14.2,21.06
workload-A,750000,3500000,32,ALL,Full,284.54,12530.34,13.73,21.22
workload-A,750000,3750000,32,ALL,Full,267.4,13422.76,13.77,20.26
workload-A,750000,4000000,32,ALL,Full,272.58,13295.35,13.99,20.93
workload-A,750000,4250000,32,ALL,Full,281.57,14660.94,14.05,20.31
workload-A,750000,4500000,32,ALL,Full,290.62,14626.47,14.25,20.52
workload-A,750000,4750000,32,ALL,Full,283.58,16590.78,13.46,22.16
workload-A,750000,5000000,32,ALL,Full,287.8,16682.33,13.68,21.14
workload-A,750000,250000,64,ALL,Full,135.54,1727.97,13.96,20.64
workload-A,750000,500000,64,ALL,Full,144.71,3370.22,13.88,20.6
workload-A,750000,750000,64,ALL,Full,142.54,5192.37,14.25,20.29
workload-A,750000,1000000,64,ALL,Full,142.51,7039.47,13.64,21.34
workload-A,750000,1250000,64,ALL,Full,137.55,8279.08,14.34,21.66
workload-A,750000,1500000,64,ALL,Full,139.18,10392.75,13.66,21.83
workload-A,750000,1750000,64,ALL,Full,143.16,12366.55,13.65,21.25
workload-A,750000,2000000,64,ALL,Full,139.77,13953.8,13.46,22.04
workload-A,750000,2250000,64,ALL,Full,147.63,16081.62,14.32,20.91
workload-A,750000,2500000,64,ALL,Full,140.15,16757.76,13.98,22.04
workload-A,750000,2750000,64,ALL,Full,145.24,18992.84,14.06,21.83
workload-A,750000,3000000,64,ALL,Full,143.35,19873.39,13.6,21.17
workload-A,750000,3250000,64,ALL,Full,147.43,21868.54,14.07,22.03
workload-A,750000,3500000,64,ALL,Full,145.55,24323.36,13.97,20.39
workload-A,750000,3750000,64,ALL,Full,138.75,26724.91,14.71,20.66
workload-A,750000,4000000,64,ALL,Full,134.36,27208.77,13.44,20.77
workload-A,750000,4250000,64,ALL,Full,144.67,27984.98,13.43,20.56
workload-A,750000,4500000,64,ALL,Full,146.51,30101.4,14.27,21.86
workload-A,750000,4750000,64,ALL,Full,141.01,31834.85,14.16,20.96
workload-A,750000,5000000,64,ALL,Full,134.61,32666.58,14.5,20.59
workload-A,750000,250000,160,ALL,Full,56.34,4316.64,13.43,21.91
workload-A,750000,500000,160,ALL,Full,59.0,8119.02,14.15,20.44
workload-A,750000,750000,160,ALL,Full,58.1,13036.67,14.79,21.63
workload-A,750000,1000000,160,ALL,Full,54.65,16958.94,13.66,21.36
workload-A,750000,1250000,160,ALL,Full,57.1,20268.39,13.65,21.36
workload-A,750000,1500000,160,ALL,Full,56.78,26576.09,14.07,20.36
workload-A,750000,1750000,160,ALL,Full,56.22,29201.19,13.45,21.61
workload-A,750000,2000000,160,ALL,Full,54.51,35683.92,13.73,21.62
workload-A,750000,2250000,160,ALL,Full,56.03,40132.58,14.06,20.19
workload-A,750000,2500000,160,ALL,Full,58.0,42519.01,13.6,20.48
workload-A,750000,2750000,160,ALL,Full,57.56,45637.46,13.97,21.18
workload-A,750000,3000000,160,ALL,Full,57.02,49817.41,13.52,20.48
workload-A,750000,3250000,160,ALL,Full,54.28,53611.53,14.18,21.84
workload-A,750000,3500000,160,ALL,Full,57.82,62290.02,14.77,20.58
workload-A,750000,3750000,160,ALL,Full,55.19,62362.64,14.49,21.83
workload-A,750000,4000000,160,ALL,Full,53.95,68812.69,14.03,20.94
workload-A,750000,4250000,160,ALL,Full,57.39,76159.11,14.74,21.67
workload-A,750000,4500000,160,ALL,Full,56.13,73439.47,13.84,20.58
workload-A,750000,4750000,160,ALL,Full,56.62,83730.77,14.35,20.76
workload-A,750000,5000000,160,ALL,Full,57.47,85814.63,13.68,21.86
workload-A,750000,250000,320,ALL,Full,29.47,8914.47,13.96,22.17
workload-A,750000,500000,320,ALL,Full,27.75,17246.07,14.41,22.04
workload-A,750000,750000,320,ALL,Full,28.65,24937.95,13.87,21.52
workload-A,750000,1000000,320,ALL,Full,29.24,34624.74,14.69,21.11
workload-A,750000,1250000,320,ALL,Full,29.07,41485.3,13.68,21.14
workload-A,750000,1500000,320,ALL,Full,27.88,52901.66,13.99,22.0
workload-A,750000,1750000,320,ALL,Full,26.94,60847.53,13.81,20.84
workload-A,750000,2000000,320,ALL,Full,28.56,70579.57,14.41,21.75
workload-A,750000,2250000,320,ALL,Full,29.24,73984.77,14.71,21.91
workload-A,750000,2500000,320,ALL,Full,26.75,86174.76,13.69,21.61
workload-A,750000,2750000,320,ALL,Full,27.29,89223.29,13.62,20.75
workload-A,750000,3000000,320,ALL,Full,28.77,105645.74,13.87,20.17
workload-A,750000,3250000,320,ALL,Full,27.17,110515.2,13.88,21.86
workload-A,750000,3500000,320,ALL,Full,29.22,114322.16,13.61,21.14
workload-A,750000,3750000,320,ALL,Full,29.01,126223.23,14.44,21.49
workload-A,750000,4000000,320,ALL,Full,27.5,141472.49,13.82,21.3
workload-A,750000,4250000,320,ALL,Full,29.39,138361.39,13.67,20.97
workload-A,750000,4500000,320,ALL,Full,29.38,147889.11,14.26,21.97
workload-A,750000,4750000,320,ALL,Full,29.36,166353.37,14.36,21.54
workload-A,750000,5000000,320,ALL,Full,28.48,169240.36,14.3,21.5
workload-A,1000000,250000,32,ALL,Full,366.9,667.71,14.99,21.52
workload-A,1000000,500000,32,ALL,Full,375.88,1261.39,14.9,22.42
workload-A,1000000,750000,32,ALL,Full,361.24,2000.95,14.79,21.27
workload-A,1000000,1000000,32,ALL,Full,372.64,2471.0,14.9,21.67
workload-A,1000000,1250000,32,ALL,Full,361.75,3152.63,14.81,22.26
workload-A,1000000,1500000,32,ALL,Full,379.03,3649.07,14.85,22.23
workload-A,1000000,1750000,32,ALL,Full,376.67,4386.73,15.02,21.83
workload-A,1000000,2000000,32,ALL,Full,391.54,5293.01,14.28,20.92
workload-A,1000000,2250000,32,ALL,Full,380.57,5998.61,14.82,20.86
workload-A,1000000,2500000,32,ALL,Full,379.12,6593.95,14.46,22.02
workload-A,1000000,2750000,32,ALL,Full,371.12,7176.14,14.14,20.72
workload-A,1000000,3000000,32,ALL,Full,382.26,7316.11,15.11,21.6
workload-A,1000000,3250000,32,ALL,Full,366.61,8426.08,14.64,22.45
workload-A,1000000,3500000,32,ALL,Full,382.41,9313.65,14.17,21.58
workload-A,1000000,3750000,32,ALL,Full,371.29,9933.38,13.79,20.87
workload-A,1000000,4000000,32,ALL,Full,363.74,9986.08,13.98,20.96
workload-A,1000000,4250000,32,ALL,Full,376.2,10781.04,14.93,21.75
workload-A,1000000,4500000,32,ALL,Full,374.44,11718.94,13.97,22.53
workload-A,1000000,4750000,32,ALL,Full,377.46,12085.86,14.74,22.38
workload-A,1000000,5000000,32,ALL,Full,379.32,12807.46,14.32,20.87
workload-A,1000000,250000,64,ALL,Full,179.85,1340.78,13.92,22.59
workload-A,1000000,500000,64,ALL,Full,195.34,2681.55,14.33,20.95
workload-A,1000000,750000,64,ALL,Full,184.03,3919.33,14.65,21.5
workload-A,1000000,1000000,64,ALL,Full,180.77,5058.02,13.88,21.22
workload-A,1000000,1250000,64,ALL,Full,185.06,6161.57,14.45,20.55
workload-A,1000000,1500000,64,ALL,Full,187.85,8030.89,14.7,20.54
workload-A,1000000,1750000,64,ALL,Full,190.1,8950.79,13.97,21.66
workload-A,1000000,2000000,64,ALL,Full,182.69,10167.68,13.7,21.76
workload-A,1000000,2250000,64,ALL,Full,184.29,11612.68,14.69,21.48
workload-A,1000000,2500000,64,ALL,Full,192.15,12585.1,14.25,21.31
workload-A,1000000,2750000,64,ALL,Full,187.38,13955.0,14.94,21.58
workload-A,1000000,3000000,64,ALL,Full,187.48,15032.17,14.53,22.02
workload-A,1000000,3250000,64,ALL,Full,184.06,16904.31,14.0,22.27
workload-A,1000000,3500000,64,ALL,Full,185.43,17333.54,14.22,20.99
workload-A,1000000,3750000,64,ALL,Full,191.93,19817.92,15.03,20.74
workload-A,1000000,4000000,64,ALL,Full,184.7,20053.03,14.39,21.29
workload-A,1000000,4250000,64,ALL,Full,183.7,22568.98,15.07,20.72
workload-A,1000000,4500000,64,ALL,Full,191.19,23148.24,14.26,21.92
workload-A,1000000,4750000,64,ALL,Full,179.11,25390.91,14.63,21.19
workload-A,1000000,5000000,64,ALL,Full,184.99,25526.25,14.63,21.23
workload-A,1000000,250000,160,ALL,Full,74.45,3308.94,14.39,22.32
workload-A,1000000,500000,160,ALL,Full,76.25,6161.83,15.05,20.63
workload-A,1000000,750000,160,ALL,Full,76.83,10027.21,14.58,22.62
workload-A,1000000,1000000,160,ALL,Full,75.44,12437.23,14.73,22.38
workload-A,1000000,1250000,160,ALL,Full,71.57,15569.73,14.94,21.1
workload-A,1000000,1500000,160,ALL,Full,74.97,18320.63,14.33,22.63
workload-A,1000000,1750000,160,ALL,Full,72.92,21699.35,14.61,22.1
workload-A,1000000,2000000,160,ALL,Full,74.59,26876.3,13.8,21.66
workload-A,1000000,2250000,160,ALL,Full,71.27,28735.64,13.97,20.73
workload-A,1000000,2500000,160,ALL,Full,74.61,31679.96,14.99,21.37
workload-A,1000000,2750000,160,ALL,Full,75.03,33677.04,14.78,20.7
workload-A,1000000,3000000,160,ALL,Full,77.8,36784.22,14.48,21.23
workload-A,1000000,3250000,160,ALL,Full,71.27,43098.81,14.5,21.54
workload-A,1000000,3500000,160,ALL,Full,74.95,43966.09,14.76,22.43
workload-A,1000000,3750000,160,ALL,Full,72.35,47655.74,14.62,21.73
workload-A,1000000,4000000,160,ALL,Full,74.16,50148.51,13.97,20.69
workload-A,1000000,4250000,160,ALL,Full,76.34,53878.22,14.62,22.26
workload-A,1000000,4500000,160,ALL,Full,76.02,57934.94,14.32,20.76
workload-A,1000000,4750000,160,ALL,Full,74.0,60022.61,14.45,20.83
workload-A,1000000,5000000,160,ALL,Full,71.25,63993.18,14.98,21.71
workload-A,1000000,250000,320,ALL,Full,37.62,6300.66,13.76,22.33
workload-A,1000000,500000,320,ALL,Full,35.69,12228.16,14.15,21.12
workload-A,1000000,750000,320,ALL,Full,38.34,18626.51,14.95,22.13
workload-A,1000000,1000000,320,ALL,Full,39.32,25012.43,14.04,22.08
workload-A,1000000,1250000,320,ALL,Full,36.14,33060.31,14.31,20.78
workload-A,1000000,1500000,320,ALL,Full,37.9,36579.97,14.23,21.63
workload-A,1000000,1750000,320,ALL,Full,37.2,45144.05,13.88,22.5
workload-A,1000000,2000000,320,ALL,Full,39.17,52569.95,14.2,21.62
workload-A,1000000,2250000,320,ALL,Full,38.55,58551.33,14.12,20.77
workload-A,1000000,2500000,320,ALL,Full,39.12,60961.32,14.76,20.74
workload-A,1000000,2750000,320,ALL,Full,36.75,73326.85,14.0,21.03
workload-A,1000000,3000000,320,ALL,Full,37.92,79780.69,14.24,22.0
workload-A,1000000,3250000,320,ALL,Full,36.53,85234.64,14.13,20.63
workload-A,1000000,3500000,320,ALL,Full,38.4,85765.08,13.76,22.57
workload-A,1000000,3750000,320,ALL,Full,36.05,95942.43,14.85,21.13
workload-A,1000000,4000000,320,ALL,Full,35.65,102515.8,14.11,20.93
workload-A,1000000,4250000,320,ALL,Full,38.48,114192.75,14.59,21.81
workload-A,1000000,4500000,320,ALL,Full,38.98,111423.2,14.45,20.8
workload-A,1000000,4750000,320,ALL,Full,37.59,116068.67,13.74,21.53
workload-A,1000000,5000000,320,ALL,Full,37.32,124364.91,14.66,20.8
workload-A,1250000,250000,32,ALL,Full,463.58,524.12,15.33,21.3
workload-A,1250000,500000,32,ALL,Full,483.76,1036.01,14.35,22.47
workload-A,1250000,750000,32,ALL,Full,484.27,1592.32,15.16,21.05
workload-A,1250000,1000000,32,ALL,Full,478.99,2079.85,14.15,22.41
workload-A,1250000,1250000,32,ALL,Full,471.12,2536.34,15.05,22.98
workload-A,1250000,1500000,32,ALL,Full,470.99,2920.78,14.38,22.03
workload-A,1250000,1750000,32,ALL,Full,461.3,3639.8,14.9,21.37
workload-A,1250000,2000000,32,ALL,Full,453.11,4185.77,15.16,21.45
workload-A,1250000,2250000,32,ALL,Full,459.79,4514.1,14.72,21.67
workload-A,1250000,2500000,32,ALL,Full,465.89,5004.75,14.52,20.97
workload-A,1250000,2750000,32,ALL,Full,467.03,5858.45,14.16,21.45
workload-A,1250000,3000000,32,ALL,Full,484.54,6318.58,15.0,21.29
workload-A,1250000,3250000,32,ALL,Full,460.07,6689.53,14.57,22.42
workload-A,1250000,3500000,32,ALL,Full,476.31,7396.23,13.98,22.42
workload-A,1250000,3750000,32,ALL,Full,456.87,7646.27,15.15,21.2
workload-A,1250000,4000000,32,ALL,Full,479.49,8096.69,14.25,21.71
workload-A,1250000,4250000,32,ALL,Full,462.36,8303.68,14.54,22.79
workload-A,1250000,4500000,32,ALL,Full,451.65,9582.52,14.13,21.93
workload-A,1250000,4750000,32,ALL,Full,490.69,9767.01,14.54,21.32
workload-A,1250000,5000000,32,ALL,Full,476.87,10600.64,14.5,22.96
workload-A,1250000,250000,64,ALL,Full,228.92,1032.03,14.87,22.45
workload-A,1250000,500000,64,ALL,Full,225.59,2042.56,14.71,21.57
workload-A,1250000,750000,64,ALL,Full,230.55,2942.81,14.64,21.68
workload-A,1250000,1000000,64,ALL,Full,244.55,4131.53,14.31,22.07
workload-A,1250000,1250000,64,ALL,Full,244.08,4935.31,14.2,21.64
workload-A,1250000,1500000,64,ALL,Full,245.88,6110.09,14.4,22.46
workload-A,1250000,1750000,64,ALL,Full,243.28,6959.05,14.42,21.21
workload-A,1250000,2000000,64,ALL,Full,225.9,7998.47,14.29,21.77
workload-A,1250000,2250000,64,ALL,Full,227.17,9563.69,15.11,22.85
workload-A,1250000,2500000,64,ALL,Full,244.05,10493.76,14.6,21.95
workload-A,1250000,2750000,64,ALL,Full,230.25,11226.66,14.5,20.94
workload-A,1250000,3000000,64,ALL,Full,231.29,12286.97,15.03,22.36
workload-A,1250000,3250000,64,ALL,Full,237.48,13731.27,13.92,22.66
workload-A,1250000,3500000,64,ALL,Full,236.83,14984.57,14.62,21.7
workload-A,1250000,3750000,64,ALL,Full,237.27,14795.98,14.9,20.91
workload-A,1250000,4000000,64,ALL,Full,227.97,17021.3,14.91,21.32
workload-A,1250000,4250000,64,ALL,Full,236.2,17649.0,15.18,22.68
workload-A,1250000,4500000,64,ALL,Full,233.2,18156.9,14.02,22.84
workload-A,1250000,4750000,64,ALL,Full,242.41,18916.94,15.04,22.62
workload-A,1250000,5000000,64,ALL,Full,228.12,19634.24,15.18,21.35
workload-A,1250000,250000,160,ALL,Full,89.36,2664.45,14.75,21.73
workload-A,1250000,500000,160,ALL,Full,90.14,4910.39,14.91,21.52
workload-A,1250000,750000,160,ALL,Full,96.51,7707.44,14.38,22.16
