Workload,Frequency (GHz),Governor,Record_Count,Operation_Count,No.threads,Consistency,Replication,Runtime (ms),Dynamic Power (W),Dynamic Energy (J)
workload-A,1.3,userspace,250000,750000,32,ALL,Full,10314.6,102.17,1053.84
workload-A,1.4,userspace,250000,750000,32,ALL,Full,10210.24,106.05,1082.83
workload-A,1.5,userspace,250000,750000,32,ALL,Full,10327.77,113.6,1173.21
workload-A,1.6,userspace,250000,750000,32,ALL,Full,9997.06,115.0,1149.66
workload-A,1.7,userspace,250000,750000,32,ALL,Full,10425.91,113.76,1186.1
workload-A,1.8,userspace,250000,750000,32,ALL,Full,10158.55,118.71,1205.96
workload-A,1.9,userspace,250000,750000,32,ALL,Full,9655.31,125.48,1211.55
workload-A,2.0,userspace,250000,750000,32,ALL,Full,10381.49,125.31,1300.9
workload-A,2.1,userspace,250000,750000,32,ALL,Full,10452.8,135.43,1415.65
workload-A,2.2,userspace,250000,750000,32,ALL,Full,10098.99,143.69,1451.14
workload-A,2.3,userspace,250000,750000,32,ALL,Full,9750.38,138.75,1352.85
workload-A,2.4,userspace,250000,750000,32,ALL,Full,10141.51,145.84,1479.08
workload-A,2.5,userspace,250000,750000,32,ALL,Full,10598.79,157.64,1670.79
workload-A,2.6,userspace,250000,750000,32,ALL,Full,10601.68,153.3,1625.21
workload-A,2.7,userspace,250000,750000,32,ALL,Full,10250.68,158.18,1621.41
workload-A,2.8,userspace,250000,750000,32,ALL,Full,10109.66,161.55,1633.17
workload-A,,performance,250000,250000,64,ALL,Full,5328.08,101.07,538.48
workload-A,,conservative,250000,250000,64,ALL,Full,5081.01,90.43,459.46
workload-A,,powersave,250000,250000,64,ALL,Full,4951.94,83.97,415.82
workload-A,,ondemand,250000,250000,64,ALL,Full,4901.6,93.91,460.32
workload-A,1.0,userspace,250000,250000,64,ALL,Full,4959.67,89.68,444.79
workload-A,1.1,userspace,250000,250000,64,ALL,Full,5060.8,94.0,475.72
workload-A,1.2,userspace,250000,250000,64,ALL,Full,4950.53,92.21,456.47
workload-A,1.3,userspace,250000,250000,64,ALL,Full,4895.64,100.38,491.43
workload-A,1.4,userspace,250000,250000,64,ALL,Full,5225.22,105.97,553.73
workload-A,1.5,userspace,250000,250000,64,ALL,Full,5294.05,111.01,587.69
workload-A,1.6,userspace,250000,250000,64,ALL,Full,5224.15,110.03,574.8
workload-A,1.7,userspace,250000,250000,64,ALL,Full,4908.61,119.75,587.81
workload-A,1.8,userspace,250000,250000,64,ALL,Full,5259.22,118.25,621.9
workload-A,1.9,userspace,250000,250000,64,ALL,Full,5042.16,124.78,629.18
workload-A,2.0,userspace,250000,250000,64,ALL,Full,5298.16,131.93,698.98
workload-A,2.1,userspace,250000,250000,64,ALL,Full,4932.74,133.66,659.33
workload-A,2.2,userspace,250000,250000,64,ALL,Full,4968.75,140.63,698.76
workload-A,2.3,userspace,250000,250000,64,ALL,Full,5315.32,138.47,736.0
workload-A,2.4,userspace,250000,250000,64,ALL,Full,4833.91,144.09,696.54
workload-A,2.5,userspace,250000,250000,64,ALL,Full,5137.59,152.25,782.19
workload-A,2.6,userspace,250000,250000,64,ALL,Full,4870.49,163.06,794.2
workload-A,2.7,userspace,250000,250000,64,ALL,Full,5034.45,163.47,822.97
workload-A,2.8,userspace,250000,250000,64,ALL,Full,4971.13,160.93,800.0
workload-A,,performance,250000,500000,64,ALL,Full,4901.69,105.82,518.72
workload-A,,conservative,250000,500000,64,ALL,Full,5201.21,91.1,473.85
workload-A,,powersave,250000,500000,64,ALL,Full,5207.67,81.07,422.19
workload-A,,ondemand,250000,500000,64,ALL,Full,4869.07,99.07,482.37
workload-A,1.0,userspace,250000,500000,64,ALL,Full,5170.19,89.5,462.71
workload-A,1.1,userspace,250000,500000,64,ALL,Full,5162.16,89.13,460.12
workload-A,1.2,userspace,250000,500000,64,ALL,Full,5201.2,100.54,522.94
workload-A,1.3,userspace,250000,500000,64,ALL,Full,5128.09,99.92,512.37
workload-A,1.4,userspace,250000,500000,64,ALL,Full,5123.88,100.17,513.28
workload-A,1.5,userspace,250000,500000,64,ALL,Full,4883.25,114.6,559.61
workload-A,1.6,userspace,250000,500000,64,ALL,Full,4850.4,114.61,555.9
workload-A,1.7,userspace,250000,500000,64,ALL,Full,5011.99,121.85,610.71
workload-A,1.8,userspace,250000,500000,64,ALL,Full,5021.54,123.69,621.13
workload-A,1.9,userspace,250000,500000,64,ALL,Full,4913.39,124.28,610.63
workload-A,2.0,userspace,250000,500000,64,ALL,Full,5016.66,132.52,664.81
workload-A,2.1,userspace,250000,500000,64,ALL,Full,4957.03,129.98,644.32
workload-A,2.2,userspace,250000,500000,64,ALL,Full,4942.48,145.63,719.77
workload-A,2.3,userspace,250000,500000,64,ALL,Full,5126.67,147.4,755.65
workload-A,2.4,userspace,250000,500000,64,ALL,Full,4843.9,143.92,697.15
workload-A,2.5,userspace,250000,500000,64,ALL,Full,5323.82,150.47,801.09
workload-A,2.6,userspace,250000,500000,64,ALL,Full,4964.57,156.31,776.0
workload-A,2.7,userspace,250000,500000,64,ALL,Full,4852.29,160.25,777.57
workload-A,2.8,userspace,250000,500000,64,ALL,Full,4973.14,163.21,811.65
workload-A,,performance,250000,750000,64,ALL,Full,4890.68,104.89,512.99
workload-A,,conservative,250000,750000,64,ALL,Full,5071.12,84.9,430.54
workload-A,,powersave,250000,750000,64,ALL,Full,4877.89,82.46,402.22
workload-A,,ondemand,250000,750000,64,ALL,Full,4882.08,96.25,469.91
workload-A,1.0,userspace,250000,750000,64,ALL,Full,5143.99,91.36,469.95
workload-A,1.1,userspace,250000,750000,64,ALL,Full,5315.53,93.62,497.61
workload-A,1.2,userspace,250000,750000,64,ALL,Full,5112.95,95.02,485.84
workload-A,1.3,userspace,250000,750000,64,ALL,Full,5037.79,97.18,489.59
workload-A,1.4,userspace,250000,750000,64,ALL,Full,4843.36,106.78,517.18
workload-A,1.5,userspace,250000,750000,64,ALL,Full,5200.05,107.41,558.55
workload-A,1.6,userspace,250000,750000,64,ALL,Full,5002.55,116.89,584.73
workload-A,1.7,userspace,250000,750000,64,ALL,Full,4835.81,116.03,561.08
workload-A,1.8,userspace,250000,750000,64,ALL,Full,5055.36,121.47,614.07
workload-A,1.9,userspace,250000,750000,64,ALL,Full,4957.19,132.49,656.77
workload-A,2.0,userspace,250000,750000,64,ALL,Full,4844.69,133.48,646.65
workload-A,2.1,userspace,250000,750000,64,ALL,Full,4910.34,129.64,636.59
workload-A,2.2,userspace,250000,750000,64,ALL,Full,5113.31,132.8,679.03
workload-A,2.3,userspace,250000,750000,64,ALL,Full,4939.41,144.7,714.74
workload-A,2.4,userspace,250000,750000,64,ALL,Full,5330.79,144.88,772.31
workload-A,2.5,userspace,250000,750000,64,ALL,Full,4858.25,156.15,758.62
workload-A,2.6,userspace,250000,750000,64,ALL,Full,5180.85,149.4,774.04
workload-A,2.7,userspace,250000,750000,64,ALL,Full,4850.28,162.55,788.43
workload-A,2.8,userspace,250000,750000,64,ALL,Full,5048.18,160.23,808.86
workload-A,,performance,500000,250000,32,ALL,Full,19755.4,104.41,2062.72
workload-A,,conservative,500000,250000,32,ALL,Full,19740.38,85.7,1691.75
workload-A,,powersave,500000,250000,32,ALL,Full,20453.93,84.18,1721.9
workload-A,,ondemand,500000,250000,32,ALL,Full,20796.42,91.84,1909.91
workload-A,1.0,userspace,500000,250000,32,ALL,Full,20676.96,84.57,1748.63
workload-A,1.1,userspace,500000,250000,32,ALL,Full,21211.59,95.72,2030.33
workload-A,1.2,userspace,500000,250000,32,ALL,Full,21116.7,92.12,1945.27
workload-A,1.3,userspace,500000,250000,32,ALL,Full,19709.68,104.53,2060.21
workload-A,1.4,userspace,500000,250000,32,ALL,Full,20555.65,108.05,2220.96
workload-A,1.5,userspace,500000,250000,32,ALL,Full,19511.69,108.81,2123.16
workload-A,1.6,userspace,500000,250000,32,ALL,Full,20635.02,117.16,2417.57
workload-A,1.7,userspace,500000,250000,32,ALL,Full,19920.03,123.18,2453.66
workload-A,1.8,userspace,500000,250000,32,ALL,Full,20801.84,126.62,2634.0
workload-A,1.9,userspace,500000,250000,32,ALL,Full,19323.93,127.95,2472.42
workload-A,2.0,userspace,500000,250000,32,ALL,Full,21113.12,127.86,2699.46
workload-A,2.1,userspace,500000,250000,32,ALL,Full,19895.43,137.7,2739.6
workload-A,2.2,userspace,500000,250000,32,ALL,Full,19764.63,141.26,2792.02
workload-A,2.3,userspace,500000,250000,32,ALL,Full,20889.31,141.41,2954.01
workload-A,2.4,userspace,500000,250000,32,ALL,Full,20288.29,154.17,3127.84
workload-A,2.5,userspace,500000,250000,32,ALL,Full,20648.12,151.26,3123.16
workload-A,2.6,userspace,500000,250000,32,ALL,Full,20632.74,149.26,3079.63
workload-A,2.7,userspace,500000,250000,32,ALL,Full,19735.83,154.55,3050.11
workload-A,2.8,userspace,500000,250000,32,ALL,Full,20323.92,157.64,3203.93
workload-A,,performance,500000,500000,32,ALL,Full,19372.09,106.54,2063.95
workload-A,,conservative,500000,500000,32,ALL,Full,20162.69,83.72,1687.97
workload-A,,powersave,500000,500000,32,ALL,Full,20550.66,86.86,1784.97
workload-A,,ondemand,500000,500000,32,ALL,Full,20385.8,96.66,1970.55
workload-A,1.0,userspace,500000,500000,32,ALL,Full,21178.75,87.88,1861.25
workload-A,1.1,userspace,500000,500000,32,ALL,Full,20321.15,96.38,1958.63
workload-A,1.2,userspace,500000,500000,32,ALL,Full,19747.53,100.78,1990.11
workload-A,1.3,userspace,500000,500000,32,ALL,Full,20883.61,100.91,2107.45
workload-A,1.4,userspace,500000,500000,32,ALL,Full,20630.07,106.03,2187.34
workload-A,1.5,userspace,500000,500000,32,ALL,Full,21188.64,112.56,2385.09
workload-A,1.6,userspace,500000,500000,32,ALL,Full,20819.14,116.87,2433.16
workload-A,1.7,userspace,500000,500000,32,ALL,Full,20292.55,122.57,2487.23
workload-A,1.8,userspace,500000,500000,32,ALL,Full,21174.83,116.54,2467.67
workload-A,1.9,userspace,500000,500000,32,ALL,Full,19623.29,120.72,2368.98
workload-A,2.0,userspace,500000,500000,32,ALL,Full,19897.67,132.23,2631.07
workload-A,2.1,userspace,500000,500000,32,ALL,Full,19646.06,141.7,2783.79
workload-A,2.2,userspace,500000,500000,32,ALL,Full,20576.84,142.07,2923.44
workload-A,2.3,userspace,500000,500000,32,ALL,Full,20769.92,142.2,2953.53
workload-A,2.4,userspace,500000,500000,32,ALL,Full,20086.5,148.09,2974.65
workload-A,2.5,userspace,500000,500000,32,ALL,Full,19965.95,157.57,3146.08
workload-A,2.6,userspace,500000,500000,32,ALL,Full,19656.09,156.01,3066.45
workload-A,2.7,userspace,500000,500000,32,ALL,Full,21063.6,165.6,3488.03
workload-A,2.8,userspace,500000,500000,32,ALL,Full,21101.26,169.06,3567.44
workload-A,,performance,500000,750000,32,ALL,Full,19382.16,102.43,1985.38
workload-A,,conservative,500000,750000,32,ALL,Full,20684.43,89.93,1860.14
workload-A,,powersave,500000,750000,32,ALL,Full,19969.56,81.71,1631.69
workload-A,,ondemand,500000,750000,32,ALL,Full,19557.0,96.32,1883.78
workload-A,1.0,userspace,500000,750000,32,ALL,Full,21123.89,85.29,1801.63
workload-A,1.1,userspace,500000,750000,32,ALL,Full,21323.95,89.05,1898.82
workload-A,1.2,userspace,500000,750000,32,ALL,Full,21114.62,91.98,1942.08
workload-A,1.3,userspace,500000,750000,32,ALL,Full,19965.3,104.45,2085.33
workload-A,1.4,userspace,500000,750000,32,ALL,Full,19306.99,103.9,2006.01
workload-A,1.5,userspace,500000,750000,32,ALL,Full,20399.31,108.23,2207.72
workload-A,1.6,userspace,500000,750000,32,ALL,Full,20661.22,116.16,2399.93
workload-A,1.7,userspace,500000,750000,32,ALL,Full,20779.39,117.83,2448.36
workload-A,1.8,userspace,500000,750000,32,ALL,Full,19509.7,127.79,2493.08
workload-A,1.9,userspace,500000,750000,32,ALL,Full,19561.92,124.76,2440.56
workload-A,2.0,userspace,500000,750000,32,ALL,Full,20921.08,129.09,2700.76
workload-A,2.1,userspace,500000,750000,32,ALL,Full,21289.75,131.36,2796.61
workload-A,2.2,userspace,500000,750000,32,ALL,Full,19751.92,143.18,2828.04
workload-A,2.3,userspace,500000,750000,32,ALL,Full,19704.16,144.44,2846.0
workload-A,2.4,userspace,500000,750000,32,ALL,Full,21200.06,151.49,3211.53
workload-A,2.5,userspace,500000,750000,32,ALL,Full,20060.82,151.89,3047.03
workload-A,2.6,userspace,500000,750000,32,ALL,Full,20580.36,153.93,3167.97
workload-A,2.7,userspace,500000,750000,32,ALL,Full,20108.21,155.73,3131.5
workload-A,2.8,userspace,500000,750000,32,ALL,Full,19591.09,157.34,3082.5
workload-A,,performance,500000,250000,64,ALL,Full,9921.5,107.24,1064.01
workload-A,,conservative,500000,250000,64,ALL,Full,9938.23,85.74,852.1
workload-A,,powersave,500000,250000,64,ALL,Full,9803.24,81.8,801.94
workload-A,,ondemand,500000,250000,64,ALL,Full,9724.29,96.87,942.02
workload-A,1.0,userspace,500000,250000,64,ALL,Full,9907.14,90.14,893.04
workload-A,1.1,userspace,500000,250000,64,ALL,Full,9887.96,94.67,936.05
workload-A,1.2,userspace,500000,250000,64,ALL,Full,10365.78,99.13,1027.59
workload-A,1.3,userspace,500000,250000,64,ALL,Full,10034.47,99.98,1003.21
workload-A,1.4,userspace,500000,250000,64,ALL,Full,9827.98,103.45,1016.74
workload-A,1.5,userspace,500000,250000,64,ALL,Full,9939.86,111.37,1107.01
workload-A,1.6,userspace,500000,250000,64,ALL,Full,9730.13,118.43,1152.32
workload-A,1.7,userspace,500000,250000,64,ALL,Full,9728.03,120.21,1169.44
workload-A,1.8,userspace,500000,250000,64,ALL,Full,10637.39,125.14,1331.14
workload-A,1.9,userspace,500000,250000,64,ALL,Full,10495.13,121.56,1275.84
workload-A,2.0,userspace,500000,250000,64,ALL,Full,10491.23,127.79,1340.64
workload-A,2.1,userspace,500000,250000,64,ALL,Full,9664.78,134.02,1295.23
workload-A,2.2,userspace,500000,250000,64,ALL,Full,10147.95,145.72,1478.72
workload-A,2.3,userspace,500000,250000,64,ALL,Full,10207.4,139.46,1423.56
workload-A,2.4,userspace,500000,250000,64,ALL,Full,9981.77,153.34,1530.63
workload-A,2.5,userspace,500000,250000,64,ALL,Full,10196.89,152.31,1553.13
workload-A,2.6,userspace,500000,250000,64,ALL,Full,10381.74,149.24,1549.37
workload-A,2.7,userspace,500000,250000,64,ALL,Full,10519.31,168.92,1776.95
workload-A,2.8,userspace,500000,250000,64,ALL,Full,9911.95,164.96,1635.12
workload-A,,performance,500000,500000,64,ALL,Full,9984.71,104.48,1043.21
workload-A,,conservative,500000,500000,64,ALL,Full,10269.94,89.17,915.73
workload-A,,powersave,500000,500000,64,ALL,Full,10130.7,84.13,852.26
workload-A,,ondemand,500000,500000,64,ALL,Full,10453.08,98.81,1032.84
workload-A,1.0,userspace,500000,500000,64,ALL,Full,10462.81,87.16,911.91
workload-A,1.1,userspace,500000,500000,64,ALL,Full,10310.95,93.23,961.31
workload-A,1.2,userspace,500000,500000,64,ALL,Full,10647.47,100.43,1069.32
workload-A,1.3,userspace,500000,500000,64,ALL,Full,9698.11,105.35,1021.72
workload-A,1.4,userspace,500000,500000,64,ALL,Full,10632.31,105.09,1117.36
workload-A,1.5,userspace,500000,500000,64,ALL,Full,10028.52,108.75,1090.58
workload-A,1.6,userspace,500000,500000,64,ALL,Full,10117.64,108.59,1098.71
workload-A,1.7,userspace,500000,500000,64,ALL,Full,10324.27,115.4,1191.47
workload-A,1.8,userspace,500000,500000,64,ALL,Full,10139.31,116.25,1178.74
workload-A,1.9,userspace,500000,500000,64,ALL,Full,9822.45,121.7,1195.36
workload-A,2.0,userspace,500000,500000,64,ALL,Full,9852.55,128.88,1269.8
workload-A,2.1,userspace,500000,500000,64,ALL,Full,10081.46,135.73,1368.33
workload-A,2.2,userspace,500000,500000,64,ALL,Full,10350.12,138.25,1430.87
workload-A,2.3,userspace,500000,500000,64,ALL,Full,10313.46,143.32,1478.13
workload-A,2.4,userspace,500000,500000,64,ALL,Full,10197.43,150.48,1534.54
workload-A,2.5,userspace,500000,500000,64,ALL,Full,10082.17,159.54,1608.48
workload-A,2.6,userspace,500000,500000,64,ALL,Full,10261.95,161.85,1660.87
workload-A,2.7,userspace,500000,500000,64,ALL,Full,10494.64,153.39,1609.74
workload-A,2.8,userspace,500000,500000,64,ALL,Full,9795.81,168.02,1645.86
workload-A,,performance,500000,750000,64,ALL,Full,9970.01,106.93,1066.13
workload-A,,conservative,500000,750000,64,ALL,Full,10426.85,88.8,925.92
workload-A,,powersave,500000,750000,64,ALL,Full,10489.38,84.03,881.43
workload-A,,ondemand,500000,750000,64,ALL,Full,9852.6,95.25,938.42
workload-A,1.0,userspace,500000,750000,64,ALL,Full,10282.0,84.75,871.44
workload-A,1.1,userspace,500000,750000,64,ALL,Full,10415.77,90.33,940.83
workload-A,1.2,userspace,500000,750000,64,ALL,Full,10223.99,93.04,951.24
workload-A,1.3,userspace,500000,750000,64,ALL,Full,10210.9,100.45,1025.68
workload-A,1.4,userspace,500000,750000,64,ALL,Full,9921.37,99.96,991.71
workload-A,1.5,userspace,500000,750000,64,ALL,Full,9885.41,109.72,1084.61
workload-A,1.6,userspace,500000,750000,64,ALL,Full,9933.13,114.91,1141.41
workload-A,1.7,userspace,500000,750000,64,ALL,Full,10253.54,114.46,1173.67
workload-A,1.8,userspace,500000,750000,64,ALL,Full,10318.72,127.91,1319.89
workload-A,1.9,userspace,500000,750000,64,ALL,Full,10505.45,132.86,1395.76
workload-A,2.0,userspace,500000,750000,64,ALL,Full,9908.15,127.39,1262.16
workload-A,2.1,userspace,500000,750000,64,ALL,Full,9985.53,141.18,1409.81
workload-A,2.2,userspace,500000,750000,64,ALL,Full,10132.45,136.33,1381.31
workload-A,2.3,userspace,500000,750000,64,ALL,Full,10262.99,149.97,1539.12
workload-A,2.4,userspace,500000,750000,64,ALL,Full,9690.51,148.39,1437.94
workload-A,2.5,userspace,500000,750000,64,ALL,Full,9732.18,159.14,1548.8
workload-A,2.6,userspace,500000,750000,64,ALL,Full,10501.25,150.21,1577.35
workload-A,2.7,userspace,500000,750000,64,ALL,Full,9893.87,160.4,1586.95
workload-A,2.8,userspace,500000,750000,64,ALL,Full,10308.63,167.87,1730.53
workload-A,,performance,750000,250000,32,ALL,Full,30841.46,104.9,3235.32
workload-A,,conservative,750000,250000,32,ALL,Full,31349.75,87.27,2735.85
workload-A,,powersave,750000,250000,32,ALL,Full,29544.7,83.84,2477.15
workload-A,,ondemand,750000,250000,32,ALL,Full,30531.33,95.57,2917.86
workload-A,1.0,userspace,750000,250000,32,ALL,Full,31699.74,85.18,2700.07
workload-A,1.1,userspace,750000,250000,32,ALL,Full,30224.17,89.59,2707.86
workload-A,1.2,userspace,750000,250000,32,ALL,Full,31647.13,98.01,3101.7
workload-A,1.3,userspace,750000,250000,32,ALL,Full,29874.79,100.13,2991.4
workload-A,1.4,userspace,750000,250000,32,ALL,Full,31313.56,101.33,3173.09
workload-A,1.5,userspace,750000,250000,32,ALL,Full,29517.56,104.62,3088.27
workload-A,1.6,userspace,750000,250000,32,ALL,Full,29313.79,111.53,3269.29
workload-A,1.7,userspace,750000,250000,32,ALL,Full,30157.04,112.58,3395.05
workload-A,1.8,userspace,750000,250000,32,ALL,Full,30336.53,116.61,3537.59
workload-A,1.9,userspace,750000,250000,32,ALL,Full,30358.33,132.6,4025.46
workload-A,2.0,userspace,750000,250000,32,ALL,Full,28978.88,124.78,3615.93
workload-A,2.1,userspace,750000,250000,32,ALL,Full,31384.42,137.18,4305.33
workload-A,2.2,userspace,750000,250000,32,ALL,Full,31482.65,137.61,4332.46
workload-A,2.3,userspace,750000,250000,32,ALL,Full,30778.76,141.04,4340.93
workload-A,2.4,userspace,750000,250000,32,ALL,Full,30271.09,141.84,4293.51
workload-A,2.5,userspace,750000,250000,32,ALL,Full,30473.78,148.73,4532.37
workload-A,2.6,userspace,750000,250000,32,ALL,Full,29266.95,161.0,4711.99
workload-A,2.7,userspace,750000,250000,32,ALL,Full,31204.73,163.41,5099.14
workload-A,2.8,userspace,750000,250000,32,ALL,Full,29923.13,158.58,4745.34
workload-A,,performance,750000,500000,32,ALL,Full,30820.18,103.32,3184.34
workload-A,,conservative,750000,500000,32,ALL,Full,31576.43,85.49,2699.57
workload-A,,powersave,750000,500000,32,ALL,Full,29051.02,79.59,2312.12
workload-A,,ondemand,750000,500000,32,ALL,Full,29653.0,100.15,2969.88
workload-A,1.0,userspace,750000,500000,32,ALL,Full,31686.44,91.34,2894.27
workload-A,1.1,userspace,750000,500000,32,ALL,Full,30447.93,89.27,2718.2
workload-A,1.2,userspace,750000,500000,32,ALL,Full,29802.45,95.48,2845.66
workload-A,1.3,userspace,750000,500000,32,ALL,Full,29387.36,98.36,2890.49
workload-A,1.4,userspace,750000,500000,32,ALL,Full,29021.55,103.98,3017.64
workload-A,1.5,userspace,750000,500000,32,ALL,Full,29601.08,105.15,3112.43
workload-A,1.6,userspace,750000,500000,32,ALL,Full,30226.98,111.87,3381.38
workload-A,1.7,userspace,750000,500000,32,ALL,Full,29155.59,112.37,3276.2
workload-A,1.8,userspace,750000,500000,32,ALL,Full,31594.13,127.21,4018.98
workload-A,1.9,userspace,750000,500000,32,ALL,Full,29421.49,123.13,3622.66
workload-A,2.0,userspace,750000,500000,32,ALL,Full,31597.54,125.4,3962.27
workload-A,2.1,userspace,750000,500000,32,ALL,Full,30877.51,128.69,3973.72
workload-A,2.2,userspace,750000,500000,32,ALL,Full,31294.25,137.69,4308.98
workload-A,2.3,userspace,750000,500000,32,ALL,Full,30237.39,150.09,4538.43
workload-A,2.4,userspace,750000,500000,32,ALL,Full,31453.59,149.69,4708.28
workload-A,2.5,userspace,750000,500000,32,ALL,Full,28990.69,149.82,4343.45
workload-A,2.6,userspace,750000,500000,32,ALL,Full,29464.72,155.06,4568.87
workload-A,2.7,userspace,750000,500000,32,ALL,Full,30776.73,164.63,5066.65
workload-A,2.8,userspace,750000,500000,32,ALL,Full,29122.66,163.69,4767.17
workload-A,,performance,750000,750000,32,ALL,Full,30750.07,109.12,3355.55
workload-A,,conservative,750000,750000,32,ALL,Full,30162.44,89.32,2694.12
workload-A,,powersave,750000,750000,32,ALL,Full,30597.64,83.81,2564.38
workload-A,,ondemand,750000,750000,32,ALL,Full,31053.77,100.24,3112.95
workload-A,1.0,userspace,750000,750000,32,ALL,Full,29188.82,85.79,2504.16
workload-A,1.1,userspace,750000,750000,32,ALL,Full,29700.6,94.34,2802.02
workload-A,1.2,userspace,750000,750000,32,ALL,Full,29285.21,94.96,2780.85
workload-A,1.3,userspace,750000,750000,32,ALL,Full,31870.22,103.08,3285.32
workload-A,1.4,userspace,750000,750000,32,ALL,Full,29392.14,101.7,2989.24
workload-A,1.5,userspace,750000,750000,32,ALL,Full,30665.33,112.89,3461.88
workload-A,1.6,userspace,750000,750000,32,ALL,Full,30886.13,118.37,3655.94
workload-A,1.7,userspace,750000,750000,32,ALL,Full,30264.99,123.65,3742.35
workload-A,1.8,userspace,750000,750000,32,ALL,Full,31042.34,124.75,3872.39
workload-A,1.9,userspace,750000,750000,32,ALL,Full,31598.71,120.28,3800.56
